signal_id,latitude,longitude,google_earth_url,verified,actual_type,notes
1,41.3745833,2.14922,"https://earth.google.com/web/@41.3745833,2.14922,100a,500d,35y,0h,0t,0r",,,
2,41.373377,2.1758088,"https://earth.google.com/web/@41.373377,2.1758088,100a,500d,35y,0h,0t,0r",,,
3,41.3881987,2.1437715,"https://earth.google.com/web/@41.3881987,2.1437715,100a,500d,35y,0h,0t,0r",,,
4,41.3890419,2.1448762,"https://earth.google.com/web/@41.3890419,2.1448762,100a,500d,35y,0h,0t,0r",,,
5,41.3924805,2.1494147,"https://earth.google.com/web/@41.3924805,2.1494147,100a,500d,35y,0h,0t,0r",,,
6,41.3907185,2.1519259,"https://earth.google.com/web/@41.3907185,2.1519259,100a,500d,35y,0h,0t,0r",,,
7,41.3901135,2.1529326,"https://earth.google.com/web/@41.3901135,2.1529326,100a,500d,35y,0h,0t,0r",,,
8,41.389089,2.1540146,"https://earth.google.com/web/@41.389089,2.1540146,100a,500d,35y,0h,0t,0r",,,
9,41.3873191,2.1562308,"https://earth.google.com/web/@41.3873191,2.1562308,100a,500d,35y,0h,0t,0r",,,
10,41.3916179,2.1573648,"https://earth.google.com/web/@41.3916179,2.1573648,100a,500d,35y,0h,0t,0r",,,
11,41.3980902,2.1823191,"https://earth.google.com/web/@41.3980902,2.1823191,100a,500d,35y,0h,0t,0r",,,
12,41.3904103,2.1670716,"https://earth.google.com/web/@41.3904103,2.1670716,100a,500d,35y,0h,0t,0r",,,
13,41.389897,2.1596326,"https://earth.google.com/web/@41.389897,2.1596326,100a,500d,35y,0h,0t,0r",,,
14,41.3933242,2.1550982,"https://earth.google.com/web/@41.3933242,2.1550982,100a,500d,35y,0h,0t,0r",,,
15,41.3924762,2.1562328,"https://earth.google.com/web/@41.3924762,2.1562328,100a,500d,35y,0h,0t,0r",,,
16,41.3275639,2.1129935,"https://earth.google.com/web/@41.3275639,2.1129935,100a,500d,35y,0h,0t,0r",,,
17,41.4096791,2.1551548,"https://earth.google.com/web/@41.4096791,2.1551548,100a,500d,35y,0h,0t,0r",,,
18,41.414535,2.1385491,"https://earth.google.com/web/@41.414535,2.1385491,100a,500d,35y,0h,0t,0r",,,
19,41.4099566,2.1891186,"https://earth.google.com/web/@41.4099566,2.1891186,100a,500d,35y,0h,0t,0r",,,
20,41.4095645,2.1889487,"https://earth.google.com/web/@41.4095645,2.1889487,100a,500d,35y,0h,0t,0r",,,
21,41.3777403,2.1117712,"https://earth.google.com/web/@41.3777403,2.1117712,100a,500d,35y,0h,0t,0r",,,
22,41.3755758,2.1272217,"https://earth.google.com/web/@41.3755758,2.1272217,100a,500d,35y,0h,0t,0r",,,
23,41.3799406,2.126718,"https://earth.google.com/web/@41.3799406,2.126718,100a,500d,35y,0h,0t,0r",,,
24,41.3915594,2.1802019,"https://earth.google.com/web/@41.3915594,2.1802019,100a,500d,35y,0h,0t,0r",,,
25,41.3912302,2.1799515,"https://earth.google.com/web/@41.3912302,2.1799515,100a,500d,35y,0h,0t,0r",,,
26,41.3992645,2.1697426,"https://earth.google.com/web/@41.3992645,2.1697426,100a,500d,35y,0h,0t,0r",,,
27,41.3708926,2.1495922,"https://earth.google.com/web/@41.3708926,2.1495922,100a,500d,35y,0h,0t,0r",,,
28,41.3564906,2.1421865,"https://earth.google.com/web/@41.3564906,2.1421865,100a,500d,35y,0h,0t,0r",,,
29,41.3895299,2.1681958,"https://earth.google.com/web/@41.3895299,2.1681958,100a,500d,35y,0h,0t,0r",,,
30,41.3815283,2.1824147,"https://earth.google.com/web/@41.3815283,2.1824147,100a,500d,35y,0h,0t,0r",,,
31,41.3914728,2.1799347,"https://earth.google.com/web/@41.3914728,2.1799347,100a,500d,35y,0h,0t,0r",,,
32,41.3943884,2.1868106,"https://earth.google.com/web/@41.3943884,2.1868106,100a,500d,35y,0h,0t,0r",,,
33,41.4047298,2.2121939,"https://earth.google.com/web/@41.4047298,2.2121939,100a,500d,35y,0h,0t,0r",,,
34,41.3738244,2.1769389,"https://earth.google.com/web/@41.3738244,2.1769389,100a,500d,35y,0h,0t,0r",,,
35,41.4177353,2.1714623,"https://earth.google.com/web/@41.4177353,2.1714623,100a,500d,35y,0h,0t,0r",,,
36,41.4298772,2.1564901,"https://earth.google.com/web/@41.4298772,2.1564901,100a,500d,35y,0h,0t,0r",,,
37,41.3929831,2.1386619,"https://earth.google.com/web/@41.3929831,2.1386619,100a,500d,35y,0h,0t,0r",,,
38,41.3755977,2.1263413,"https://earth.google.com/web/@41.3755977,2.1263413,100a,500d,35y,0h,0t,0r",,,
39,41.4447335,2.1872578,"https://earth.google.com/web/@41.4447335,2.1872578,100a,500d,35y,0h,0t,0r",,,
40,41.3917296,2.1872495,"https://earth.google.com/web/@41.3917296,2.1872495,100a,500d,35y,0h,0t,0r",,,
41,41.4428779,2.1861417,"https://earth.google.com/web/@41.4428779,2.1861417,100a,500d,35y,0h,0t,0r",,,
42,41.4431558,2.1860518,"https://earth.google.com/web/@41.4431558,2.1860518,100a,500d,35y,0h,0t,0r",,,
43,41.4382096,2.1744771,"https://earth.google.com/web/@41.4382096,2.1744771,100a,500d,35y,0h,0t,0r",,,
44,41.4044502,2.2125612,"https://earth.google.com/web/@41.4044502,2.2125612,100a,500d,35y,0h,0t,0r",,,
45,41.4013402,2.1138305,"https://earth.google.com/web/@41.4013402,2.1138305,100a,500d,35y,0h,0t,0r",,,
46,41.39044,2.1071359,"https://earth.google.com/web/@41.39044,2.1071359,100a,500d,35y,0h,0t,0r",,,
47,41.4015529,2.1141584,"https://earth.google.com/web/@41.4015529,2.1141584,100a,500d,35y,0h,0t,0r",,,
48,41.4359959,2.1914503,"https://earth.google.com/web/@41.4359959,2.1914503,100a,500d,35y,0h,0t,0r",,,
49,41.4068763,2.1338313,"https://earth.google.com/web/@41.4068763,2.1338313,100a,500d,35y,0h,0t,0r",,,
50,41.4189084,2.1573005,"https://earth.google.com/web/@41.4189084,2.1573005,100a,500d,35y,0h,0t,0r",,,
51,41.3645388,2.1358066,"https://earth.google.com/web/@41.3645388,2.1358066,100a,500d,35y,0h,0t,0r",,,
52,41.3650134,2.1356695,"https://earth.google.com/web/@41.3650134,2.1356695,100a,500d,35y,0h,0t,0r",,,
53,41.3867266,2.1119972,"https://earth.google.com/web/@41.3867266,2.1119972,100a,500d,35y,0h,0t,0r",,,
54,41.4269163,2.1453095,"https://earth.google.com/web/@41.4269163,2.1453095,100a,500d,35y,0h,0t,0r",,,
55,41.4298575,2.1936887,"https://earth.google.com/web/@41.4298575,2.1936887,100a,500d,35y,0h,0t,0r",,,
56,41.3664805,2.1373667,"https://earth.google.com/web/@41.3664805,2.1373667,100a,500d,35y,0h,0t,0r",,,
57,41.4134508,2.1449542,"https://earth.google.com/web/@41.4134508,2.1449542,100a,500d,35y,0h,0t,0r",,,
58,41.4143179,2.1376721,"https://earth.google.com/web/@41.4143179,2.1376721,100a,500d,35y,0h,0t,0r",,,
59,41.4163538,2.1370951,"https://earth.google.com/web/@41.4163538,2.1370951,100a,500d,35y,0h,0t,0r",,,
60,41.4395295,2.1630454,"https://earth.google.com/web/@41.4395295,2.1630454,100a,500d,35y,0h,0t,0r",,,
61,41.4418324,2.166655,"https://earth.google.com/web/@41.4418324,2.166655,100a,500d,35y,0h,0t,0r",,,
62,41.4094518,2.1549359,"https://earth.google.com/web/@41.4094518,2.1549359,100a,500d,35y,0h,0t,0r",,,
63,41.3813682,2.1076328,"https://earth.google.com/web/@41.3813682,2.1076328,100a,500d,35y,0h,0t,0r",,,
64,41.4210301,2.1215326,"https://earth.google.com/web/@41.4210301,2.1215326,100a,500d,35y,0h,0t,0r",,,
65,41.4512149,2.186191,"https://earth.google.com/web/@41.4512149,2.186191,100a,500d,35y,0h,0t,0r",,,
66,41.4521757,2.1865493,"https://earth.google.com/web/@41.4521757,2.1865493,100a,500d,35y,0h,0t,0r",,,
67,41.3761923,2.1096164,"https://earth.google.com/web/@41.3761923,2.1096164,100a,500d,35y,0h,0t,0r",,,
68,41.3905297,2.1672287,"https://earth.google.com/web/@41.3905297,2.1672287,100a,500d,35y,0h,0t,0r",,,
69,41.3903056,2.1669335,"https://earth.google.com/web/@41.3903056,2.1669335,100a,500d,35y,0h,0t,0r",,,
70,41.3952146,2.1760637,"https://earth.google.com/web/@41.3952146,2.1760637,100a,500d,35y,0h,0t,0r",,,
71,41.3963275,2.1822748,"https://earth.google.com/web/@41.3963275,2.1822748,100a,500d,35y,0h,0t,0r",,,
72,41.3370662,2.1138183,"https://earth.google.com/web/@41.3370662,2.1138183,100a,500d,35y,0h,0t,0r",,,
73,41.4206199,2.1401754,"https://earth.google.com/web/@41.4206199,2.1401754,100a,500d,35y,0h,0t,0r",,,
74,41.3483051,2.1473347,"https://earth.google.com/web/@41.3483051,2.1473347,100a,500d,35y,0h,0t,0r",,,
75,41.3482808,2.1471084,"https://earth.google.com/web/@41.3482808,2.1471084,100a,500d,35y,0h,0t,0r",,,
76,41.3239433,2.1218572,"https://earth.google.com/web/@41.3239433,2.1218572,100a,500d,35y,0h,0t,0r",,,
77,41.3853797,2.1407126,"https://earth.google.com/web/@41.3853797,2.1407126,100a,500d,35y,0h,0t,0r",,,
78,41.3853272,2.1387774,"https://earth.google.com/web/@41.3853272,2.1387774,100a,500d,35y,0h,0t,0r",,,
79,41.4146131,2.2013987,"https://earth.google.com/web/@41.4146131,2.2013987,100a,500d,35y,0h,0t,0r",,,
80,41.3858015,2.1632324,"https://earth.google.com/web/@41.3858015,2.1632324,100a,500d,35y,0h,0t,0r",,,
81,41.3781051,2.1382183,"https://earth.google.com/web/@41.3781051,2.1382183,100a,500d,35y,0h,0t,0r",,,
82,41.4160462,2.1999556,"https://earth.google.com/web/@41.4160462,2.1999556,100a,500d,35y,0h,0t,0r",,,
83,41.4357247,2.2012722,"https://earth.google.com/web/@41.4357247,2.2012722,100a,500d,35y,0h,0t,0r",,,
84,41.4126254,2.199633,"https://earth.google.com/web/@41.4126254,2.199633,100a,500d,35y,0h,0t,0r",,,
85,41.3968742,2.1593199,"https://earth.google.com/web/@41.3968742,2.1593199,100a,500d,35y,0h,0t,0r",,,
86,41.4300903,2.150917,"https://earth.google.com/web/@41.4300903,2.150917,100a,500d,35y,0h,0t,0r",,,
87,41.4310866,2.1508718,"https://earth.google.com/web/@41.4310866,2.1508718,100a,500d,35y,0h,0t,0r",,,
88,41.4341846,2.1517002,"https://earth.google.com/web/@41.4341846,2.1517002,100a,500d,35y,0h,0t,0r",,,
89,41.4315943,2.153704,"https://earth.google.com/web/@41.4315943,2.153704,100a,500d,35y,0h,0t,0r",,,
90,41.3827621,2.1222961,"https://earth.google.com/web/@41.3827621,2.1222961,100a,500d,35y,0h,0t,0r",,,
91,41.3805734,2.1188697,"https://earth.google.com/web/@41.3805734,2.1188697,100a,500d,35y,0h,0t,0r",,,
92,41.3807943,2.1185347,"https://earth.google.com/web/@41.3807943,2.1185347,100a,500d,35y,0h,0t,0r",,,
93,41.4247672,2.2037619,"https://earth.google.com/web/@41.4247672,2.2037619,100a,500d,35y,0h,0t,0r",,,
94,41.3894843,2.1081872,"https://earth.google.com/web/@41.3894843,2.1081872,100a,500d,35y,0h,0t,0r",,,
95,41.3894046,2.1080434,"https://earth.google.com/web/@41.3894046,2.1080434,100a,500d,35y,0h,0t,0r",,,
96,41.3894635,2.1080966,"https://earth.google.com/web/@41.3894635,2.1080966,100a,500d,35y,0h,0t,0r",,,
97,41.3892715,2.1082103,"https://earth.google.com/web/@41.3892715,2.1082103,100a,500d,35y,0h,0t,0r",,,
98,41.3650162,2.1351923,"https://earth.google.com/web/@41.3650162,2.1351923,100a,500d,35y,0h,0t,0r",,,
99,41.3756315,2.1240951,"https://earth.google.com/web/@41.3756315,2.1240951,100a,500d,35y,0h,0t,0r",,,
100,41.3795891,2.1438965,"https://earth.google.com/web/@41.3795891,2.1438965,100a,500d,35y,0h,0t,0r",,,
101,41.3821315,2.1403027,"https://earth.google.com/web/@41.3821315,2.1403027,100a,500d,35y,0h,0t,0r",,,
102,41.3757166,2.1488992,"https://earth.google.com/web/@41.3757166,2.1488992,100a,500d,35y,0h,0t,0r",,,
103,41.4020885,2.1780878,"https://earth.google.com/web/@41.4020885,2.1780878,100a,500d,35y,0h,0t,0r",,,
104,41.3809061,2.11901,"https://earth.google.com/web/@41.3809061,2.11901,100a,500d,35y,0h,0t,0r",,,
105,41.3893017,2.1080824,"https://earth.google.com/web/@41.3893017,2.1080824,100a,500d,35y,0h,0t,0r",,,
106,41.3749554,2.1521454,"https://earth.google.com/web/@41.3749554,2.1521454,100a,500d,35y,0h,0t,0r",,,
107,41.414199,2.1317814,"https://earth.google.com/web/@41.414199,2.1317814,100a,500d,35y,0h,0t,0r",,,
108,41.4130655,2.1302706,"https://earth.google.com/web/@41.4130655,2.1302706,100a,500d,35y,0h,0t,0r",,,
109,41.3976211,2.1328982,"https://earth.google.com/web/@41.3976211,2.1328982,100a,500d,35y,0h,0t,0r",,,
110,41.3879036,2.115138,"https://earth.google.com/web/@41.3879036,2.115138,100a,500d,35y,0h,0t,0r",,,
111,41.4137063,2.1408525,"https://earth.google.com/web/@41.4137063,2.1408525,100a,500d,35y,0h,0t,0r",,,
112,41.4060163,2.1870319,"https://earth.google.com/web/@41.4060163,2.1870319,100a,500d,35y,0h,0t,0r",,,
113,41.4304065,2.1563847,"https://earth.google.com/web/@41.4304065,2.1563847,100a,500d,35y,0h,0t,0r",,,
114,41.4306835,2.1564849,"https://earth.google.com/web/@41.4306835,2.1564849,100a,500d,35y,0h,0t,0r",,,
115,41.4169924,2.1867326,"https://earth.google.com/web/@41.4169924,2.1867326,100a,500d,35y,0h,0t,0r",,,
116,41.4447716,2.1870866,"https://earth.google.com/web/@41.4447716,2.1870866,100a,500d,35y,0h,0t,0r",,,
117,41.4318069,2.1774305,"https://earth.google.com/web/@41.4318069,2.1774305,100a,500d,35y,0h,0t,0r",,,
118,41.4268644,2.1500393,"https://earth.google.com/web/@41.4268644,2.1500393,100a,500d,35y,0h,0t,0r",,,
119,41.4220019,2.1408449,"https://earth.google.com/web/@41.4220019,2.1408449,100a,500d,35y,0h,0t,0r",,,
120,41.3846348,2.1127884,"https://earth.google.com/web/@41.3846348,2.1127884,100a,500d,35y,0h,0t,0r",,,
121,41.3990706,2.169779,"https://earth.google.com/web/@41.3990706,2.169779,100a,500d,35y,0h,0t,0r",,,
122,41.3992636,2.1700887,"https://earth.google.com/web/@41.3992636,2.1700887,100a,500d,35y,0h,0t,0r",,,
123,41.3991949,2.1701464,"https://earth.google.com/web/@41.3991949,2.1701464,100a,500d,35y,0h,0t,0r",,,
124,41.3793246,2.113441,"https://earth.google.com/web/@41.3793246,2.113441,100a,500d,35y,0h,0t,0r",,,
125,41.4208405,2.1406092,"https://earth.google.com/web/@41.4208405,2.1406092,100a,500d,35y,0h,0t,0r",,,
126,41.4054734,2.1753154,"https://earth.google.com/web/@41.4054734,2.1753154,100a,500d,35y,0h,0t,0r",,,
127,41.4062783,2.1768656,"https://earth.google.com/web/@41.4062783,2.1768656,100a,500d,35y,0h,0t,0r",,,
128,41.4089203,2.1483722,"https://earth.google.com/web/@41.4089203,2.1483722,100a,500d,35y,0h,0t,0r",,,
129,41.4057636,2.1476748,"https://earth.google.com/web/@41.4057636,2.1476748,100a,500d,35y,0h,0t,0r",,,
130,41.3844674,2.112575,"https://earth.google.com/web/@41.3844674,2.112575,100a,500d,35y,0h,0t,0r",,,
131,41.4202807,2.1402156,"https://earth.google.com/web/@41.4202807,2.1402156,100a,500d,35y,0h,0t,0r",,,
132,41.4117247,2.140955,"https://earth.google.com/web/@41.4117247,2.140955,100a,500d,35y,0h,0t,0r",,,
133,41.4135406,2.1408209,"https://earth.google.com/web/@41.4135406,2.1408209,100a,500d,35y,0h,0t,0r",,,
134,41.3847641,2.1271892,"https://earth.google.com/web/@41.3847641,2.1271892,100a,500d,35y,0h,0t,0r",,,
135,41.3983103,2.1614682,"https://earth.google.com/web/@41.3983103,2.1614682,100a,500d,35y,0h,0t,0r",,,
136,41.3989118,2.1607341,"https://earth.google.com/web/@41.3989118,2.1607341,100a,500d,35y,0h,0t,0r",,,
137,41.3990045,2.160735,"https://earth.google.com/web/@41.3990045,2.160735,100a,500d,35y,0h,0t,0r",,,
138,41.3895304,2.1680844,"https://earth.google.com/web/@41.3895304,2.1680844,100a,500d,35y,0h,0t,0r",,,
139,41.3893012,2.1682116,"https://earth.google.com/web/@41.3893012,2.1682116,100a,500d,35y,0h,0t,0r",,,
140,41.3829028,2.1837366,"https://earth.google.com/web/@41.3829028,2.1837366,100a,500d,35y,0h,0t,0r",,,
141,41.3739044,2.177156,"https://earth.google.com/web/@41.3739044,2.177156,100a,500d,35y,0h,0t,0r",,,
142,41.387494,2.1140717,"https://earth.google.com/web/@41.387494,2.1140717,100a,500d,35y,0h,0t,0r",,,
143,41.4114638,2.1434639,"https://earth.google.com/web/@41.4114638,2.1434639,100a,500d,35y,0h,0t,0r",,,
144,41.38012,2.1427207,"https://earth.google.com/web/@41.38012,2.1427207,100a,500d,35y,0h,0t,0r",,,
145,41.3834348,2.1148486,"https://earth.google.com/web/@41.3834348,2.1148486,100a,500d,35y,0h,0t,0r",,,
146,41.3817149,2.1155655,"https://earth.google.com/web/@41.3817149,2.1155655,100a,500d,35y,0h,0t,0r",,,
147,41.3949479,2.1804973,"https://earth.google.com/web/@41.3949479,2.1804973,100a,500d,35y,0h,0t,0r",,,
148,41.3958104,2.1833426,"https://earth.google.com/web/@41.3958104,2.1833426,100a,500d,35y,0h,0t,0r",,,
149,41.3958095,2.1815996,"https://earth.google.com/web/@41.3958095,2.1815996,100a,500d,35y,0h,0t,0r",,,
150,41.3958166,2.1838603,"https://earth.google.com/web/@41.3958166,2.1838603,100a,500d,35y,0h,0t,0r",,,
151,41.3962964,2.1804817,"https://earth.google.com/web/@41.3962964,2.1804817,100a,500d,35y,0h,0t,0r",,,
152,41.3966523,2.1827528,"https://earth.google.com/web/@41.3966523,2.1827528,100a,500d,35y,0h,0t,0r",,,
153,41.3975547,2.1810569,"https://earth.google.com/web/@41.3975547,2.1810569,100a,500d,35y,0h,0t,0r",,,
154,41.4127158,2.1677581,"https://earth.google.com/web/@41.4127158,2.1677581,100a,500d,35y,0h,0t,0r",,,
155,41.3945214,2.113112,"https://earth.google.com/web/@41.3945214,2.113112,100a,500d,35y,0h,0t,0r",,,
156,41.3944432,2.1126418,"https://earth.google.com/web/@41.3944432,2.1126418,100a,500d,35y,0h,0t,0r",,,
157,41.3969113,2.140489,"https://earth.google.com/web/@41.3969113,2.140489,100a,500d,35y,0h,0t,0r",,,
158,41.409907,2.1356785,"https://earth.google.com/web/@41.409907,2.1356785,100a,500d,35y,0h,0t,0r",,,
159,41.4026193,2.1652332,"https://earth.google.com/web/@41.4026193,2.1652332,100a,500d,35y,0h,0t,0r",,,
160,41.3769654,2.1109564,"https://earth.google.com/web/@41.3769654,2.1109564,100a,500d,35y,0h,0t,0r",,,
161,41.3771597,2.1108679,"https://earth.google.com/web/@41.3771597,2.1108679,100a,500d,35y,0h,0t,0r",,,
162,41.3770551,2.1583389,"https://earth.google.com/web/@41.3770551,2.1583389,100a,500d,35y,0h,0t,0r",,,
163,41.3749775,2.1232504,"https://earth.google.com/web/@41.3749775,2.1232504,100a,500d,35y,0h,0t,0r",,,
164,41.4050087,2.1182102,"https://earth.google.com/web/@41.4050087,2.1182102,100a,500d,35y,0h,0t,0r",,,
165,41.4130549,2.1694164,"https://earth.google.com/web/@41.4130549,2.1694164,100a,500d,35y,0h,0t,0r",,,
166,41.4155427,2.1730596,"https://earth.google.com/web/@41.4155427,2.1730596,100a,500d,35y,0h,0t,0r",,,
167,41.397797,2.1273869,"https://earth.google.com/web/@41.397797,2.1273869,100a,500d,35y,0h,0t,0r",,,
168,41.3770827,2.1109246,"https://earth.google.com/web/@41.3770827,2.1109246,100a,500d,35y,0h,0t,0r",,,
169,41.430331,2.1733997,"https://earth.google.com/web/@41.430331,2.1733997,100a,500d,35y,0h,0t,0r",,,
170,41.3330366,2.1381905,"https://earth.google.com/web/@41.3330366,2.1381905,100a,500d,35y,0h,0t,0r",,,
171,41.4384061,2.174372,"https://earth.google.com/web/@41.4384061,2.174372,100a,500d,35y,0h,0t,0r",,,
172,41.4321464,2.1469265,"https://earth.google.com/web/@41.4321464,2.1469265,100a,500d,35y,0h,0t,0r",,,
173,41.4465692,2.186852,"https://earth.google.com/web/@41.4465692,2.186852,100a,500d,35y,0h,0t,0r",,,
174,41.3830219,2.1069378,"https://earth.google.com/web/@41.3830219,2.1069378,100a,500d,35y,0h,0t,0r",,,
175,41.3763215,2.1137415,"https://earth.google.com/web/@41.3763215,2.1137415,100a,500d,35y,0h,0t,0r",,,
176,41.398058,2.1828526,"https://earth.google.com/web/@41.398058,2.1828526,100a,500d,35y,0h,0t,0r",,,
177,41.3991226,2.1695655,"https://earth.google.com/web/@41.3991226,2.1695655,100a,500d,35y,0h,0t,0r",,,
178,41.3789139,2.138393,"https://earth.google.com/web/@41.3789139,2.138393,100a,500d,35y,0h,0t,0r",,,
179,41.3789849,2.138678,"https://earth.google.com/web/@41.3789849,2.138678,100a,500d,35y,0h,0t,0r",,,
180,41.3789984,2.1385122,"https://earth.google.com/web/@41.3789984,2.1385122,100a,500d,35y,0h,0t,0r",,,
181,41.3804511,2.1405481,"https://earth.google.com/web/@41.3804511,2.1405481,100a,500d,35y,0h,0t,0r",,,
182,41.380497,2.1409872,"https://earth.google.com/web/@41.380497,2.1409872,100a,500d,35y,0h,0t,0r",,,
183,41.377396,2.1378939,"https://earth.google.com/web/@41.377396,2.1378939,100a,500d,35y,0h,0t,0r",,,
184,41.3785908,2.1385394,"https://earth.google.com/web/@41.3785908,2.1385394,100a,500d,35y,0h,0t,0r",,,
185,41.4345072,2.1492838,"https://earth.google.com/web/@41.4345072,2.1492838,100a,500d,35y,0h,0t,0r",,,
186,41.379566,2.1138558,"https://earth.google.com/web/@41.379566,2.1138558,100a,500d,35y,0h,0t,0r",,,
187,41.3507772,2.1449818,"https://earth.google.com/web/@41.3507772,2.1449818,100a,500d,35y,0h,0t,0r",,,
188,41.39768,2.1276856,"https://earth.google.com/web/@41.39768,2.1276856,100a,500d,35y,0h,0t,0r",,,
189,41.3708652,2.1647593,"https://earth.google.com/web/@41.3708652,2.1647593,100a,500d,35y,0h,0t,0r",,,
190,41.3943158,2.1749784,"https://earth.google.com/web/@41.3943158,2.1749784,100a,500d,35y,0h,0t,0r",,,
191,41.3993767,2.1790676,"https://earth.google.com/web/@41.3993767,2.1790676,100a,500d,35y,0h,0t,0r",,,
192,41.3993942,2.178639,"https://earth.google.com/web/@41.3993942,2.178639,100a,500d,35y,0h,0t,0r",,,
193,41.3820729,2.1586686,"https://earth.google.com/web/@41.3820729,2.1586686,100a,500d,35y,0h,0t,0r",,,
194,41.3979754,2.1873287,"https://earth.google.com/web/@41.3979754,2.1873287,100a,500d,35y,0h,0t,0r",,,
195,41.4132035,2.1445237,"https://earth.google.com/web/@41.4132035,2.1445237,100a,500d,35y,0h,0t,0r",,,
196,41.4141433,2.1376499,"https://earth.google.com/web/@41.4141433,2.1376499,100a,500d,35y,0h,0t,0r",,,
197,41.4142284,2.1378003,"https://earth.google.com/web/@41.4142284,2.1378003,100a,500d,35y,0h,0t,0r",,,
198,41.4151705,2.1362144,"https://earth.google.com/web/@41.4151705,2.1362144,100a,500d,35y,0h,0t,0r",,,
199,41.4159758,2.1373595,"https://earth.google.com/web/@41.4159758,2.1373595,100a,500d,35y,0h,0t,0r",,,
200,41.4160593,2.1364681,"https://earth.google.com/web/@41.4160593,2.1364681,100a,500d,35y,0h,0t,0r",,,
201,41.4113378,2.1575996,"https://earth.google.com/web/@41.4113378,2.1575996,100a,500d,35y,0h,0t,0r",,,
202,41.4111777,2.1574212,"https://earth.google.com/web/@41.4111777,2.1574212,100a,500d,35y,0h,0t,0r",,,
203,41.4109798,2.1571032,"https://earth.google.com/web/@41.4109798,2.1571032,100a,500d,35y,0h,0t,0r",,,
204,41.4107992,2.1570363,"https://earth.google.com/web/@41.4107992,2.1570363,100a,500d,35y,0h,0t,0r",,,
205,41.3894645,2.1736195,"https://earth.google.com/web/@41.3894645,2.1736195,100a,500d,35y,0h,0t,0r",,,
206,41.4160133,2.1577428,"https://earth.google.com/web/@41.4160133,2.1577428,100a,500d,35y,0h,0t,0r",,,
207,41.3858996,2.1651743,"https://earth.google.com/web/@41.3858996,2.1651743,100a,500d,35y,0h,0t,0r",,,
208,41.4395013,2.1569039,"https://earth.google.com/web/@41.4395013,2.1569039,100a,500d,35y,0h,0t,0r",,,
209,41.4394367,2.1564842,"https://earth.google.com/web/@41.4394367,2.1564842,100a,500d,35y,0h,0t,0r",,,
210,41.3837751,2.1609248,"https://earth.google.com/web/@41.3837751,2.1609248,100a,500d,35y,0h,0t,0r",,,
211,41.3829264,2.1597999,"https://earth.google.com/web/@41.3829264,2.1597999,100a,500d,35y,0h,0t,0r",,,
212,41.3847862,2.1618393,"https://earth.google.com/web/@41.3847862,2.1618393,100a,500d,35y,0h,0t,0r",,,
213,41.4079963,2.1509015,"https://earth.google.com/web/@41.4079963,2.1509015,100a,500d,35y,0h,0t,0r",,,
214,41.4080322,2.1508699,"https://earth.google.com/web/@41.4080322,2.1508699,100a,500d,35y,0h,0t,0r",,,
215,41.3745897,2.1731059,"https://earth.google.com/web/@41.3745897,2.1731059,100a,500d,35y,0h,0t,0r",,,
216,41.3991221,2.1673676,"https://earth.google.com/web/@41.3991221,2.1673676,100a,500d,35y,0h,0t,0r",,,
217,41.4289621,2.1564966,"https://earth.google.com/web/@41.4289621,2.1564966,100a,500d,35y,0h,0t,0r",,,
218,41.4288033,2.156417,"https://earth.google.com/web/@41.4288033,2.156417,100a,500d,35y,0h,0t,0r",,,
219,41.4289651,2.1568686,"https://earth.google.com/web/@41.4289651,2.1568686,100a,500d,35y,0h,0t,0r",,,
220,41.4246065,2.1654723,"https://earth.google.com/web/@41.4246065,2.1654723,100a,500d,35y,0h,0t,0r",,,
221,41.4096752,2.1549449,"https://earth.google.com/web/@41.4096752,2.1549449,100a,500d,35y,0h,0t,0r",,,
222,41.4279407,2.1650236,"https://earth.google.com/web/@41.4279407,2.1650236,100a,500d,35y,0h,0t,0r",,,
223,41.3752467,2.143408,"https://earth.google.com/web/@41.3752467,2.143408,100a,500d,35y,0h,0t,0r",,,
224,41.4407027,2.1632128,"https://earth.google.com/web/@41.4407027,2.1632128,100a,500d,35y,0h,0t,0r",,,
225,41.4409427,2.1623732,"https://earth.google.com/web/@41.4409427,2.1623732,100a,500d,35y,0h,0t,0r",,,
226,41.4413111,2.1665098,"https://earth.google.com/web/@41.4413111,2.1665098,100a,500d,35y,0h,0t,0r",,,
227,41.3944705,2.1762719,"https://earth.google.com/web/@41.3944705,2.1762719,100a,500d,35y,0h,0t,0r",,,
228,41.3954026,2.1751879,"https://earth.google.com/web/@41.3954026,2.1751879,100a,500d,35y,0h,0t,0r",,,
229,41.4127236,2.2171799,"https://earth.google.com/web/@41.4127236,2.2171799,100a,500d,35y,0h,0t,0r",,,
230,41.3942219,2.1744572,"https://earth.google.com/web/@41.3942219,2.1744572,100a,500d,35y,0h,0t,0r",,,
231,41.3952654,2.1748612,"https://earth.google.com/web/@41.3952654,2.1748612,100a,500d,35y,0h,0t,0r",,,
232,41.3984779,2.1662658,"https://earth.google.com/web/@41.3984779,2.1662658,100a,500d,35y,0h,0t,0r",,,
233,41.3550711,2.1387288,"https://earth.google.com/web/@41.3550711,2.1387288,100a,500d,35y,0h,0t,0r",,,
234,41.4000911,2.1686663,"https://earth.google.com/web/@41.4000911,2.1686663,100a,500d,35y,0h,0t,0r",,,
