street_id,bldg_h_mean_50m,bldg_h_max_50m,bldg_h_mean_100m,bldg_h_max_100m
T04719W,9.940666666666667,12.09,10.376666666666667,15.0
T19941Z,17.076923076923077,24.0,18.571428571428573,39.0
T18111R,25.333333333333332,30.0,22.375,45.0
T03222Y,11.754098360655737,30.0,12.454545454545455,36.0
T17625I,30.0,30.0,29.4,54.0
T05360P,12.0,12.0,12.0,12.0
T08863T,12.814814814814815,33.0,11.573529411764707,33.0
T00236S,14.5625,22.0,15.555555555555555,22.0
T13009A,26.142857142857142,33.0,23.586206896551722,51.0
T11921P,12.0,12.0,11.928571428571429,12.0
T16868V,7.674418604651163,15.0,8.130841121495328,15.0
T02762R,12.313432835820896,21.0,12.407407407407407,21.0
T04571U,11.837837837837839,12.0,11.433962264150944,15.0
T08170X,14.294117647058824,33.0,13.5,33.0
T07536D,7.291666666666667,15.0,7.5,15.0
T01076Y,16.57894736842105,24.0,16.62264150943396,24.0
T21401B,18.0,30.0,13.95,30.0
T20087H,6.857142857142857,27.0,6.928571428571429,27.0
T00497L,18.24,27.0,17.81132075471698,27.0
T02457L,12.0,12.0,12.923076923076923,30.0
T10161V,11.294117647058824,24.0,14.4,33.0
T20348J,9.0,12.0,9.0,12.0
T07895X,10.424242424242424,24.0,11.562231759656653,24.0
T08413X,13.846153846153847,24.0,13.318965517241379,24.0
T15540W,11.432432432432432,33.0,13.055555555555555,33.0
T06230K,7.633333333333334,27.0,8.61923076923077,30.0
T02118V,13.727272727272727,21.0,14.5125,33.0
T08980X,12.0,12.0,12.0,12.0
T14659G,17.27027027027027,21.0,16.377551020408163,39.0
T19836Z,11.0,12.0,8.85,12.0
T01784T,13.0,25.0,12.42,25.0
T11818R,4.2,9.0,7.578947368421052,12.0
T18426H,17.0,24.0,15.88888888888889,24.0
T02648Q,16.61842105263158,33.0,16.38323353293413,33.0
T02391K,21.103448275862068,33.0,20.057142857142857,36.0
T08305U,12.75,24.0,12.352941176470589,24.0
T03284M,14.15625,60.0,14.953488372093023,60.0
T15812B,0.0,0.0,0.0,0.0
T08289L,13.0,18.0,16.4,33.0
T09386P,26.076923076923077,36.0,26.181818181818183,39.0
T09155C,12.76595744680851,30.0,11.625,30.0
T06296C,10.120481927710843,30.0,9.159695817490494,33.0
T03163E,9.733333333333333,21.0,10.707112970711297,36.0
T09255F,15.428571428571429,42.0,12.43421052631579,63.0
T08817N,11.833333333333334,30.0,12.891891891891891,30.0
T10101J,9.724137931034482,18.0,12.608695652173912,36.0
T08632G,10.875,12.0,11.647058823529411,15.0
T09652O,23.41304347826087,36.0,23.17105263157895,36.0
T03020Q,11.666666666666666,21.0,13.909090909090908,33.0
T12919Z,16.666666666666668,24.0,12.05084745762712,24.0
T00954P,15.681818181818182,30.0,16.564102564102566,30.0
T17527H,17.192307692307693,27.0,14.153846153846153,36.0
T16362A,12.416666666666666,33.0,14.654867256637168,39.0
T11026T,12.0,12.0,12.0,12.0
T01155W,15.202702702702704,21.0,15.609137055837563,24.0
T17230T,14.897435897435898,30.0,15.4453125,30.0
T01946T,15.046153846153846,33.0,15.715909090909092,36.0
T07889Z,14.461538461538462,27.0,13.915384615384616,27.0
T10349F,22.96551724137931,63.0,22.15625,63.0
T04856E,12.0,12.0,12.0,12.0
T01430W,12.5625,21.0,16.886363636363637,30.0
T17265E,15.0,24.0,17.177419354838708,24.0
T02561K,12.0,12.0,12.0,12.0
T04729Y,12.833333333333334,27.0,11.014285714285714,27.0
T01633F,19.285714285714285,27.0,17.65909090909091,27.0
T17606F,25.5,33.0,21.46153846153846,45.0
T09207X,18.4,33.0,16.220338983050848,33.0
T12907V,4.714285714285714,9.0,4.916666666666667,12.0
T04597E,6.204545454545454,21.0,7.631067961165049,24.0
T08203P,12.724137931034482,36.0,13.96987951807229,36.0
T06595K,6.0,6.0,9.75,15.0
T01915M,14.147058823529411,21.0,14.172413793103448,24.0
T08416A,11.25,18.0,10.3125,18.0
T12083G,13.153846153846153,33.0,13.0,33.0
T13003U,20.357142857142858,57.0,20.8,57.0
T19295S,13.125,21.0,10.186046511627907,21.0
T11305X,11.76,15.0,11.95774647887324,15.0
T02656Q,15.15,33.0,14.468253968253968,33.0
T01496O,15.538461538461538,24.0,16.526315789473685,24.0
T14865K,7.5,12.0,7.5,12.0
T18074D,5.09375,36.0,8.966101694915254,36.0
T09798F,9.714285714285714,30.0,9.825,30.0
T15984U,12.0,12.0,12.1875,15.0
T05334N,12.0,18.0,11.85,18.0
T15621W,15.857142857142858,21.0,17.517857142857142,24.0
T17971X,13.5,18.0,16.0,39.0
T01863R,12.673469387755102,24.0,12.6,24.0
T10276F,11.0,12.0,16.363636363636363,27.0
T21256K,12.0,12.0,11.217391304347826,12.0
T09532H,23.210526315789473,36.0,25.74418604651163,54.0
T05538X,11.4,12.0,10.714285714285714,12.0
T19562S,7.722222222222222,27.0,8.33,33.0
T03360H,11.956521739130435,12.0,12.044444444444444,21.0
T03707O,18.942857142857143,39.0,18.619565217391305,39.0
T02977E,12.0,12.0,12.258064516129032,30.0
T13859I,5.25,9.0,4.5625,9.0
T12035Y,12.0,12.0,12.046511627906977,18.0
RD0129Y,11.2,12.0,10.923076923076923,12.0
T08313U,14.666666666666666,24.0,12.25531914893617,24.0
T02155A,18.387096774193548,27.0,18.053097345132745,27.0
T07338Z,11.625,15.0,12.136363636363637,21.0
T20016S,16.363636363636363,33.0,16.70149253731343,33.0
T01346B,12.0,12.0,12.0,12.0
T20218A,6.0,12.0,21.333333333333332,66.0
T09490O,11.8125,12.0,11.925,12.0
T04836A,12.0,12.0,12.0,12.0
T03700H,20.0,30.0,19.855263157894736,39.0
T16869W,6.846153846153846,15.0,7.556603773584905,15.0
T12574U,4.5,12.0,5.630769230769231,21.0
T05832A,19.90909090909091,33.0,15.678571428571429,36.0
T04793G,12.0,12.0,12.0,12.0
T06025H,8.045454545454545,27.0,9.15358361774744,27.0
T17868Z,13.625,30.0,15.183673469387756,33.0
T20171C,15.8,24.0,17.06756756756757,24.0
T05043F,15.3,27.0,15.105263157894736,30.0
T20906R,10.875,30.0,13.5,30.0
T08793W,12.25,21.0,12.1875,21.0
T21272K,12.9375,21.0,13.568181818181818,33.0
T20352F,14.666666666666666,27.0,14.4,27.0
T07990V,12.0,24.0,12.096153846153847,24.0
T01527E,18.5,33.0,18.514285714285716,33.0
T18597Z,12.0,12.0,12.0,12.0
T02171A,14.029411764705882,27.0,12.460227272727273,27.0
T10206R,11.625,27.0,13.534883720930232,33.0
T00885T,19.333333333333332,27.0,17.696629213483146,27.0
T20930R,9.5,12.0,9.857142857142858,15.0
T05082M,12.0,12.0,12.0,12.0
T02838U,9.932432432432432,21.0,9.688995215311005,27.0
T12098N,17.72093023255814,36.0,15.435897435897436,36.0
T02407B,11.0,12.0,14.76,47.0
T01783S,12.6,25.0,12.3,25.0
T01530Z,17.40983606557377,24.0,17.975,27.0
T10897C,12.333333333333334,21.0,9.0,21.0
T20369O,19.8,33.0,19.0,33.0
T19184M,28.5,48.0,18.70212765957447,48.0
T19376S,20.625,33.0,19.846153846153847,42.0
T18622J,12.0,12.0,12.0,12.0
T00271V,12.0,15.0,13.734375,24.0
T10470F,12.176470588235293,18.0,12.17910447761194,18.0
T09103Q,14.4375,27.0,12.882352941176471,27.0
T08860Q,12.658536585365853,33.0,12.05607476635514,36.0
T10372E,15.162162162162161,24.0,15.96875,30.0
T10680N,12.0,12.0,12.0,12.0
T20427H,21.0,30.0,25.714285714285715,42.0
T19924Y,16.666666666666668,30.0,18.833333333333332,36.0
T10740I,13.30188679245283,24.0,12.641618497109826,24.0
T07261V,16.09090909090909,54.0,17.322580645161292,54.0
T18813O,18.428571428571427,24.0,15.222222222222221,24.0
T12205Y,12.0,12.0,12.1875,18.0
T20069F,12.0,12.0,12.0,12.0
T00389I,18.592105263157894,24.0,18.38961038961039,30.0
T07531Y,7.285714285714286,15.0,7.618421052631579,15.0
T16582K,17.930232558139537,21.0,17.53448275862069,27.0
T17601A,22.714285714285715,48.0,18.428571428571427,48.0
T13813U,11.454545454545455,12.0,11.7,12.0
T15618B,19.75,22.0,17.83783783783784,22.0
T09280G,19.42105263157895,30.0,18.646153846153847,30.0
T03795E,18.0,27.0,18.84,33.0
T05113C,12.0,12.0,12.0,12.0
T15784O,12.0,12.0,12.0,12.0
T17159D,22.431818181818183,24.0,21.928571428571427,36.0
T06081P,8.444444444444445,30.0,10.822222222222223,33.0
T21146F,16.5,24.0,21.65625,39.0
T04168N,3.0,3.0,3.0,3.0
T06928L,11.561538461538461,21.0,11.692622950819672,21.0
T17200N,17.625,36.0,18.31578947368421,36.0
T14863I,17.844827586206897,24.0,17.93220338983051,24.0
T04920V,12.0,12.0,11.870503597122303,12.0
T10196G,19.695652173913043,33.0,20.816326530612244,33.0
T09663R,26.571428571428573,51.0,28.153846153846153,51.0
T05506P,9.55813953488372,33.0,11.876712328767123,33.0
T03213X,11.19767441860465,24.0,11.657754010695188,30.0
T11178I,12.0,12.0,12.0,12.0
T02194H,14.175,30.0,13.852173913043478,33.0
T12009W,14.052631578947368,27.0,12.923076923076923,27.0
T03411B,12.0,12.0,12.049180327868852,15.0
T16202L,12.0,12.0,12.0,12.0
T21163G,10.642857142857142,21.0,11.102803738317757,21.0
T20976F,5.142857142857143,12.0,4.728813559322034,12.0
T18547P,16.21875,24.0,17.08235294117647,27.0
T05001V,11.448275862068966,15.0,11.53448275862069,15.0
T00887V,18.125,27.0,17.451923076923077,27.0
RL0028B,13.5,18.0,13.0,18.0
T01825L,12.257142857142858,21.0,12.090909090909092,21.0
T10879A,8.076923076923077,12.0,7.21875,15.0
T12228F,12.0,12.0,12.0,12.0
T01146V,17.38235294117647,24.0,16.397727272727273,33.0
T09084E,16.235294117647058,30.0,17.205882352941178,36.0
RD0103Y,7.4,12.0,8.625,15.0
T11932S,12.0,12.0,11.933333333333334,12.0
T07510T,11.0,21.0,9.705882352941176,21.0
T07958V,11.154929577464788,24.0,10.921875,27.0
T05306J,11.853658536585366,12.0,11.229357798165138,12.0
T08647N,11.464285714285714,12.0,11.590909090909092,12.0
T13627U,12.0,12.0,12.194805194805195,18.0
T07336X,11.775,12.0,11.85981308411215,21.0
T05251L,13.161290322580646,18.0,11.081632653061224,21.0
T06673H,8.357142857142858,33.0,9.306122448979592,42.0
T09839X,17.727272727272727,36.0,16.862068965517242,36.0
T00099B,20.466666666666665,22.0,18.516129032258064,22.0
T09574R,25.615384615384617,51.0,21.84,51.0
T19280L,12.576923076923077,27.0,12.375,27.0
T20933U,12.0,12.0,12.694736842105263,30.0
T15832F,12.0,12.0,11.475,12.0
T21310Z,12.0,12.0,11.89795918367347,12.0
T14932E,12.0,12.0,18.352941176470587,57.0
T20053X,11.516129032258064,12.0,11.5,24.0
T20295N,12.0,12.0,12.580645161290322,30.0
T19850X,13.0,24.0,13.076923076923077,24.0
T11101N,14.4,30.0,13.772727272727273,30.0
T12601G,6.461538461538462,21.0,7.3125,21.0
T00461Z,16.0,24.0,17.192307692307693,24.0
T20494S,12.0,12.0,12.0625,18.0
T12218D,12.0,12.0,12.283783783783784,18.0
T09928X,16.333333333333332,39.0,15.0,39.0
T07139U,15.807692307692308,36.0,16.623529411764707,36.0
T04471R,14.464285714285714,24.0,15.35593220338983,24.0
T13774E,12.0,12.0,12.0,12.0
T11566Q,11.722222222222221,12.0,11.783333333333333,12.0
T03232A,12.0,27.0,12.04109589041096,27.0
T15677M,17.176470588235293,24.0,16.990384615384617,39.0
T11702G,9.5625,18.0,9.55,24.0
P72700,12.205479452054794,21.0,12.186440677966102,30.0
T03860W,7.0,12.0,6.666666666666667,12.0
T20748V,15.193548387096774,33.0,12.455696202531646,33.0
T04551Q,8.9,24.0,8.818181818181818,24.0
T03494U,17.416666666666668,27.0,16.783783783783782,33.0
T15587L,18.705882352941178,24.0,17.27102803738318,24.0
T19635S,17.5,20.0,18.583333333333332,21.0
T05428S,3.75,9.0,5.384615384615385,12.0
T15942K,23.454545454545453,66.0,30.157894736842106,66.0
T17274F,17.4,45.0,21.5,45.0
T14732Y,23.482758620689655,36.0,21.49411764705882,36.0
T02049Z,19.18421052631579,30.0,17.17924528301887,63.0
T15841G,20.029411764705884,33.0,19.135135135135137,36.0
T02306X,15.157894736842104,27.0,14.63265306122449,30.0
T02035T,22.59375,36.0,20.517241379310345,36.0
T01520X,18.46153846153846,24.0,17.696969696969695,27.0
T04706R,12.0,18.0,11.620253164556962,24.0
T00916J,18.352941176470587,39.0,17.21212121212121,39.0
T07458G,12.162162162162161,21.0,12.228571428571428,21.0
T05373U,12.0,12.0,11.8875,12.0
T12613K,5.142857142857143,12.0,6.631578947368421,12.0
T15693M,17.83783783783784,24.0,17.88118811881188,27.0
T09528L,16.333333333333332,36.0,15.409090909090908,54.0
T12832T,7.488721804511278,18.0,8.266666666666667,24.0
T01919Q,14.0,27.0,12.682758620689656,27.0
T11631I,12.0,12.0,12.0,12.0
T12708Q,11.974025974025974,12.0,11.9375,12.0
T07803D,11.366197183098592,24.0,12.274285714285714,24.0
T05576D,20.285714285714285,33.0,16.5,36.0
T12041W,12.0,12.0,12.0,12.0
T09786B,7.625,21.0,9.825,30.0
T18057C,13.846153846153847,21.0,12.096774193548388,21.0
T01504X,16.70769230769231,24.0,17.095890410958905,24.0
T00474E,14.333333333333334,24.0,17.05,24.0
T09248G,15.0,30.0,14.093023255813954,30.0
T06754H,7.054054054054054,12.0,6.935064935064935,18.0
T10174A,21.0,36.0,21.375,36.0
T02771S,12.73076923076923,21.0,13.081632653061224,33.0
T12048D,12.096774193548388,15.0,12.027027027027026,18.0
T04539U,16.3125,24.0,16.285714285714285,27.0
T18085G,15.9,36.0,15.136363636363637,57.0
T01204O,19.571428571428573,33.0,19.37837837837838,33.0
T19522K,10.714285714285714,24.0,15.529411764705882,30.0
T21420E,7.304347826086956,24.0,8.753424657534246,24.0
T09685X,23.25,51.0,25.78723404255319,51.0
T12690X,12.117647058823529,18.0,12.046511627906977,18.0
T16126Q,13.875,24.0,14.056451612903226,30.0
T07804E,11.294117647058824,21.0,11.720496894409937,24.0
T05955K,21.333333333333332,33.0,16.327868852459016,33.0
T18024T,12.0,21.0,12.893617021276595,36.0
T16945R,14.285714285714286,27.0,13.615384615384615,27.0
T01457H,17.027027027027028,21.0,17.073170731707318,24.0
T18328G,29.0,69.0,26.142857142857142,69.0
T06005D,10.428571428571429,24.0,11.39655172413793,27.0
T17081Y,12.692307692307692,21.0,12.418604651162791,21.0
T09911O,15.75,18.0,16.42105263157895,36.0
T15736G,15.362068965517242,24.0,15.613636363636363,39.0
T02868A,8.478260869565217,18.0,9.5260663507109,21.0
T04934B,11.08695652173913,15.0,10.689655172413794,15.0
T10394K,21.63157894736842,30.0,19.670454545454547,30.0
T05481X,12.0,12.0,13.384615384615385,42.0
T18676X,10.2,12.0,10.875,12.0
RD0061I,12.0,12.0,13.714285714285714,42.0
T00788T,16.017857142857142,24.0,16.01142857142857,24.0
T20492Q,15.321428571428571,27.0,14.507462686567164,27.0
T20337G,12.0,12.0,12.0,12.0
T12200T,12.0,12.0,12.727272727272727,27.0
T03033V,17.25,33.0,15.0,33.0
T20896G,12.789473684210526,21.0,12.535714285714286,21.0
T08204Q,12.863013698630137,36.0,14.005434782608695,36.0
T12384Q,12.0,12.0,12.090909090909092,18.0
T03015T,12.0,21.0,12.545454545454545,33.0
T11053W,12.0,12.0,12.0,12.0
T15969V,12.0,12.0,12.0,12.0
T18594W,12.0,12.0,12.0,12.0
T20646Q,5.0,6.0,4.0,6.0
T08871T,12.164383561643836,30.0,12.559006211180124,33.0
T03215Z,12.7012987012987,30.0,12.859756097560975,30.0
T03245F,12.055555555555555,27.0,11.823529411764707,27.0
T20918V,0.0,0.0,12.0,12.0
T08813J,13.615384615384615,30.0,14.720930232558139,36.0
T00343U,17.5,21.0,18.20689655172414,24.0
T08182B,10.483870967741936,21.0,12.321428571428571,36.0
T00778R,16.46153846153846,24.0,16.147058823529413,30.0
T12223A,12.0,12.0,12.0,12.0
T12281K,12.0,15.0,12.055555555555555,18.0
T17542G,13.846153846153847,24.0,14.023255813953488,30.0
T02864W,11.152173913043478,21.0,10.629139072847682,48.0
T15646F,10.636363636363637,18.0,12.833333333333334,33.0
T12090F,15.731707317073171,33.0,13.4070796460177,33.0
T01677R,12.193548387096774,18.0,12.308823529411764,21.0
T09190F,12.957446808510639,27.0,12.526717557251908,30.0
T03151A,17.931818181818183,33.0,16.818181818181817,33.0
T17834P,21.0,22.0,17.0,22.0
T03723O,22.928571428571427,30.0,19.609756097560975,30.0
T08168D,13.5,30.0,14.201438848920864,33.0
T12346K,12.0,12.0,12.025423728813559,15.0
T01835N,13.5,30.0,14.0,36.0
T11501Z,15.631578947368421,30.0,14.163934426229508,30.0
T12814R,14.941176470588236,24.0,12.941176470588236,27.0
T17972Y,16.5,18.0,16.191176470588236,39.0
T19974I,12.0,12.0,12.0,12.0
T01715G,13.631578947368421,30.0,12.981132075471699,30.0
T09923S,29.0,36.0,28.41176470588235,36.0
T04209F,13.11111111111111,30.0,15.504950495049505,30.0
T11285K,12.0,12.0,12.0,12.0
T17220R,20.82857142857143,33.0,20.13,33.0
T08464I,12.0,12.0,13.028571428571428,33.0
T01205P,15.75,24.0,17.0,30.0
T03190H,13.28048780487805,36.0,12.217391304347826,36.0
T19683A,14.375,30.0,14.045454545454545,30.0
T06047N,11.35135135135135,33.0,10.61320754716981,33.0
T11429I,12.0,12.0,12.0,12.0
T17536I,12.75,15.0,18.0,33.0
T20265H,10.584269662921349,33.0,12.340540540540541,33.0
T20273H,14.25,27.0,12.409090909090908,27.0
T00108L,17.142857142857142,22.0,17.192307692307693,22.0
T00378F,17.91891891891892,30.0,18.58407079646018,33.0
T09142X,21.0,42.0,22.96153846153846,42.0
T07579O,0.0,0.0,11.0,12.0
T03658W,15.692307692307692,24.0,15.880165289256198,33.0
T02834Q,12.085714285714285,30.0,11.567307692307692,30.0
T01104L,19.0,33.0,18.347826086956523,33.0
T09560L,21.692307692307693,51.0,19.434782608695652,51.0
T18917V,11.545454545454545,27.0,11.156756756756756,27.0
T00977W,18.11111111111111,27.0,18.506493506493506,33.0
T13855E,4.137931034482759,9.0,4.859154929577465,12.0
T13029E,22.0,45.0,23.423076923076923,45.0
T16964U,9.947368421052632,30.0,10.52,30.0
T03246G,12.0,12.0,12.15,27.0
T10302Q,10.875,24.0,9.655172413793103,24.0
T10049W,9.75,18.0,13.961538461538462,39.0
T04552R,15.10344827586207,27.0,13.9,27.0
T18714M,12.0,12.0,12.0,12.0
T15825G,12.0,12.0,12.0,12.0
T13694F,0.0,0.0,6.0,18.0
T16350W,11.294117647058824,30.0,12.857142857142858,48.0
T08200M,11.1,21.0,12.030150753768844,30.0
T11306Y,12.0,12.0,12.11111111111111,15.0
T08799C,12.870967741935484,30.0,13.880597014925373,30.0
T11720I,7.695652173913044,12.0,8.1,27.0
T06243P,10.051948051948052,30.0,9.449339207048459,30.0
T01628I,17.181818181818183,21.0,16.918032786885245,24.0
T20879F,4.777777777777778,12.0,5.571428571428571,15.0
T20141W,20.045454545454547,33.0,19.44943820224719,36.0
T17373H,12.557142857142857,21.0,13.05109489051095,33.0
T20814O,9.857142857142858,12.0,9.9375,24.0
T19371N,31.5,63.0,24.9,63.0
T17243Y,11.375,18.0,10.792682926829269,21.0
T21572T,10.0,12.0,10.8,12.0
T16654J,12.0,12.0,12.0,12.0
T09197M,10.25925925925926,30.0,11.59322033898305,30.0
T09596X,38.5,45.0,31.829268292682926,54.0
T07071R,22.8,27.0,14.863636363636363,27.0
T06649H,12.0,12.0,9.428571428571429,12.0
T05732X,17.2,27.0,15.970588235294118,27.0
T02150V,25.25,40.0,23.529411764705884,66.0
P72464,12.36,18.0,12.234375,18.0
T20667V,9.0,12.0,6.666666666666667,12.0
T06362V,13.95,30.0,12.744186046511627,30.0
T01744L,18.09375,24.0,16.065420560747665,24.0
T16522Y,21.0,30.0,21.75862068965517,33.0
T08430Y,7.0588235294117645,12.0,7.982142857142857,24.0
T10405W,14.170212765957446,30.0,14.333333333333334,30.0
T00030G,19.8,20.0,18.347826086956523,20.0
T02376L,13.166666666666666,21.0,12.934426229508198,24.0
T13777H,12.0,12.0,12.0,12.0
T09116V,23.0,54.0,23.653846153846153,54.0
P12920,17.61904761904762,27.0,17.596153846153847,27.0
T02072Y,12.0,12.0,12.0,12.0
T19882F,7.5,12.0,7.8,12.0
T20591S,13.071428571428571,24.0,12.348837209302326,24.0
T10205Q,11.727272727272727,27.0,10.75,27.0
T19288T,22.8,33.0,18.842105263157894,33.0
T10010H,11.0,27.0,10.36046511627907,27.0
T05411J,4.05,12.0,4.096153846153846,12.0
T03166H,10.753521126760564,21.0,11.333333333333334,24.0
LRD0009,12.0,12.0,12.0,12.0
T01194D,15.4,24.0,18.837209302325583,33.0
T17964Y,13.26923076923077,18.0,15.75,51.0
T11950U,12.0,12.0,12.0,12.0
T12466R,16.0,18.0,14.727272727272727,18.0
T07963S,9.958333333333334,24.0,11.336538461538462,27.0
T04881F,12.0,12.0,12.0,12.0
T13591Z,15.907894736842104,24.0,15.652173913043478,30.0
T20934V,12.0,12.0,12.0,12.0
T10431Y,14.0625,27.0,13.116279069767442,27.0
T08096E,13.150684931506849,27.0,14.347826086956522,33.0
T05731W,15.0,18.0,14.666666666666666,27.0
P72650,11.97841726618705,24.0,11.670212765957446,24.0
T19517N,6.230769230769231,12.0,7.354838709677419,21.0
T16516A,12.0,12.0,12.0,12.0
T01022K,15.620689655172415,24.0,15.75,30.0
T03040U,12.0,12.0,11.307692307692308,12.0
T10520Y,13.1,21.0,12.85,30.0
T04463R,14.454545454545455,24.0,14.9375,24.0
T01716H,13.142857142857142,30.0,12.712328767123287,30.0
T11284J,12.0,12.0,12.0,12.0
T16625E,15.9375,21.0,16.98913043478261,24.0
T21418K,9.0,24.0,10.274336283185841,24.0
T20001L,11.84,24.0,12.426229508196721,36.0
T01988D,22.5,30.0,21.25,36.0
T17773T,12.0,12.0,12.041666666666666,15.0
T15954O,16.4,33.0,14.121951219512194,33.0
T03868E,12.0,12.0,16.714285714285715,24.0
T03837X,19.527272727272727,60.0,16.8515625,60.0
T03563Q,16.0,33.0,16.82608695652174,33.0
T17201O,17.666666666666668,36.0,17.68421052631579,36.0
T16893W,12.0,12.0,12.0,12.0
T06889V,23.903225806451612,36.0,17.737864077669904,36.0
T06954N,9.882352941176471,21.0,10.75,21.0
T09656S,29.625,51.0,28.454545454545453,51.0
T18219C,22.8,30.0,17.76923076923077,30.0
T01074W,14.76923076923077,27.0,15.790909090909091,27.0
T04503I,12.25,18.0,12.523809523809524,27.0
T21478W,15.76923076923077,22.0,17.724137931034484,22.0
T00990T,18.09375,24.0,17.852941176470587,27.0
T14615U,16.725,24.0,16.85234899328859,39.0
T18964C,4.894736842105263,12.0,6.701298701298701,33.0
T18698D,12.0,12.0,12.0,15.0
RD0095Q,12.0,12.0,12.0,12.0
T13489C,12.0,12.0,10.0,12.0
T06565E,14.232558139534884,24.0,10.738317757009346,24.0
T12133Z,19.09090909090909,27.0,16.625,27.0
T21161E,16.2,21.0,10.363636363636363,21.0
T17832N,22.8,51.0,20.205882352941178,51.0
T07231P,9.25,15.0,8.657142857142857,15.0
T17632H,15.461538461538462,33.0,15.0,36.0
T13360M,12.0,12.0,12.0,12.0
T13074J,17.1,21.0,15.12,27.0
T06154P,8.173913043478262,33.0,9.015384615384615,33.0
T08522B,11.7,21.0,12.0,21.0
T18602F,10.615384615384615,12.0,11.03225806451613,12.0
T12930U,4.857142857142857,12.0,4.88,15.0
T09866A,17.625,36.0,11.892857142857142,36.0
T09007R,13.5,21.0,12.4,21.0
T03513G,18.047619047619047,33.0,16.991803278688526,33.0
T10422X,16.78125,33.0,17.509615384615383,33.0
T17530C,21.214285714285715,33.0,20.333333333333332,33.0
T08454G,19.363636363636363,33.0,17.90625,33.0
T16226T,8.5,12.0,8.272727272727273,15.0
T03504F,15.96774193548387,33.0,16.833333333333332,33.0
T03458Q,13.0,21.0,12.45,21.0
T11492P,12.0,12.0,12.0,12.0
T08468M,12.0,12.0,13.5,24.0
T21331E,12.0,12.0,9.666666666666666,12.0
T07500R,10.833333333333334,18.0,9.666666666666666,18.0
T07120J,30.75,36.0,29.869565217391305,36.0
T02840O,11.892857142857142,24.0,11.215767634854771,24.0
T02245B,14.4375,24.0,12.139344262295081,27.0
T07783Q,12.5625,24.0,12.442105263157895,24.0
T08080W,26.045454545454547,72.0,21.875,72.0
T02505C,14.560975609756097,33.0,15.674556213017752,36.0
T04236I,18.692307692307693,33.0,20.765625,36.0
T04547U,12.0,27.0,12.115942028985508,27.0
T01584N,17.482758620689655,24.0,17.61764705882353,24.0
T06056O,15.153846153846153,33.0,14.373913043478261,39.0
T07373C,23.0,30.0,18.93103448275862,33.0
T10402T,12.363636363636363,24.0,12.978260869565217,30.0
T07638I,15.681818181818182,30.0,12.906976744186046,33.0
T11237C,12.9375,24.0,13.647058823529411,24.0
T04715S,12.0,12.0,11.7252,21.0
RD0035I,18.0,18.0,12.333333333333334,24.0
T05364T,12.0,12.0,11.881578947368421,12.0
T05239P,12.0,12.0,12.0,12.0
T04732T,12.0,12.0,11.51909090909091,12.0
T10805I,10.434782608695652,18.0,10.18867924528302,24.0
T14420L,12.13953488372093,21.0,12.24,21.0
T13303D,16.591836734693878,24.0,16.32608695652174,45.0
T06014E,14.714285714285714,27.0,13.228571428571428,30.0
T02593S,16.5,33.0,15.635294117647058,33.0
T18095I,18.214285714285715,27.0,17.86046511627907,36.0
T21341G,11.76923076923077,12.0,11.709677419354838,12.0
T06655F,8.0,18.0,12.375,30.0
T09995I,14.68421052631579,30.0,12.569620253164556,30.0
T11274H,12.0,12.0,12.136363636363637,15.0
T15386E,14.454545454545455,36.0,12.137931034482758,36.0
T00687P,16.03448275862069,21.0,16.717557251908396,24.0
T12673W,12.0,12.0,11.806451612903226,12.0
T11582Q,9.428571428571429,15.0,7.95,15.0
T11954Y,12.0,12.0,12.0,12.0
T08404W,12.0,12.0,12.0,12.0
T07829N,11.40625,18.0,11.479338842975206,18.0
T05541S,12.065934065934066,18.0,12.169014084507042,36.0
T21082G,14.5,27.0,17.0,30.0
T08760N,14.0,24.0,12.909090909090908,24.0
T12935Z,5.6571428571428575,15.0,5.275862068965517,21.0
T12987L,16.90909090909091,27.0,17.79310344827586,27.0
T05734Z,15.0,27.0,15.074074074074074,39.0
T21531K,10.2,27.0,10.293103448275861,27.0
T21513I,27.214285714285715,51.0,25.147058823529413,51.0
T07860M,11.736842105263158,27.0,12.670212765957446,27.0
T08057X,19.471698113207548,33.0,17.051470588235293,33.0
RL0021U,0.0,0.0,0.0,0.0
T01740H,18.0,30.0,18.0,30.0
T02209X,22.058823529411764,33.0,19.27777777777778,36.0
T07238W,13.988372093023257,36.0,13.844594594594595,36.0
T07921I,17.82857142857143,39.0,14.173469387755102,39.0
T10672N,12.0,12.0,12.0,12.0
T03181G,19.73076923076923,33.0,18.55,36.0
T09243B,14.228571428571428,30.0,11.571428571428571,30.0
T21283N,8.785714285714286,12.0,7.469387755102041,12.0
T17618J,20.17241379310345,33.0,17.865168539325843,33.0
T16637I,18.047619047619047,24.0,17.363636363636363,24.0
T19104W,12.0,12.0,10.4,24.0
T07351W,14.5,24.0,13.833333333333334,24.0
T17627K,31.2,51.0,28.2,51.0
T02090A,19.76923076923077,63.0,16.976190476190474,63.0
T21304B,11.264705882352942,12.0,11.095744680851064,12.0
T07165W,10.5,12.0,10.363636363636363,15.0
T05189W,12.0,12.0,12.0,12.0
T02825P,12.391304347826088,21.0,11.566666666666666,21.0
T03476S,12.0,12.0,12.0,12.0
T05909E,14.763157894736842,42.0,15.567567567567568,42.0
